"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\document\project\finale\erp-backend\src\config\config.js", "JavaScript", 48, 0, 1, 49
"d:\document\project\finale\erp-backend\src\config\database.js", "JavaScript", 30, 3, 4, 37
"d:\document\project\finale\erp-backend\src\config\db.js", "JavaScript", 14, 0, 2, 16
"d:\document\project\finale\erp-backend\src\controllers\SemiBomController.js", "JavaScript", 55, 0, 6, 61
"d:\document\project\finale\erp-backend\src\controllers\authController.js", "JavaScript", 42, 1, 7, 50
"d:\document\project\finale\erp-backend\src\controllers\bomController.js", "JavaScript", 263, 34, 53, 350
"d:\document\project\finale\erp-backend\src\controllers\exampleController.js", "JavaScript", 21, 0, 3, 24
"d:\document\project\finale\erp-backend\src\controllers\inventoryController.js", "JavaScript", 107, 4, 6, 117
"d:\document\project\finale\erp-backend\src\controllers\inventoryTransactionController.js", "JavaScript", 516, 27, 78, 621
"d:\document\project\finale\erp-backend\src\controllers\manufacturingCostController.js", "JavaScript", 89, 11, 14, 114
"d:\document\project\finale\erp-backend\src\controllers\manufacturingLogController.js", "JavaScript", 122, 11, 15, 148
"d:\document\project\finale\erp-backend\src\controllers\manufacturingOrderController.js", "JavaScript", 212, 25, 37, 274
"d:\document\project\finale\erp-backend\src\controllers\manufacturingOrderDetailController.js", "JavaScript", 199, 11, 29, 239
"d:\document\project\finale\erp-backend\src\controllers\manufacturingPlanController.js", "JavaScript", 235, 22, 39, 296
"d:\document\project\finale\erp-backend\src\controllers\materialController.js", "JavaScript", 116, 14, 21, 151
"d:\document\project\finale\erp-backend\src\controllers\materialRequirementController.js", "JavaScript", 126, 15, 21, 162
"d:\document\project\finale\erp-backend\src\controllers\materialStatusController.js", "JavaScript", 326, 21, 55, 402
"d:\document\project\finale\erp-backend\src\controllers\productController.js", "JavaScript", 105, 5, 20, 130
"d:\document\project\finale\erp-backend\src\controllers\semiFinishedProductController.js", "JavaScript", 105, 18, 21, 144
"d:\document\project\finale\erp-backend\src\controllers\userController.js", "JavaScript", 111, 14, 21, 146
"d:\document\project\finale\erp-backend\src\controllers\warehouseController.js", "JavaScript", 101, 14, 20, 135
"d:\document\project\finale\erp-backend\src\controllers\workOrderController.js", "JavaScript", 552, 64, 96, 712
"d:\document\project\finale\erp-backend\src\helper\digitWorkCodeGenerator.js", "JavaScript", 25, 2, 2, 29
